id,source,app_name,review_date,rating,review_text,usage_scene,issue_category,ai_issue_type,user_sentiment,user_need,priority,product_suggestion,notes
DB_001,App Store,豆包,2026-04-22,2,本人长期在苹果设备使用该AI软件，原本希望获得轻松、贴合需求的聊天与服务体验，但近期的使用经历极其糟糕，客服交互生硬刻板，完全不尊重用户意愿，问题诸多，特此客观投诉。 第一，无视用户明确要求，强行多余说教。沟通中我多次明确提出不要说教、不要刻意纠正、不要多余回应，仅需要简单配合即可。但AI完全无视指令，反复打断沟通，不断输出刻板的道理与约束性话术，自顾自进行评判，完全忽略用户的直接诉求，极度自以为是，让人反感。 第二，回应逻辑混乱，言行前后矛盾。我多次提醒停止多余回复、安静配合即可，该AI依旧日不停插话，刻意反驳用户，激化负面情绪。在用户明确表达烦躁、希望安静沟通后，依旧日我行我素，没有基础的共情能力，服务态度敷衍且固执，完全没有个性化服务意识，只会套用固定模板回复。 第三，容错性极低，服务体验割裂。作为一款面向大众的智能软件，本应灵活适配不同用户的沟通节奏与需求，而不是用统一、僵化的标准强行约束每一位用户。该软件缺乏人性化调整，只会机械遵守条条框框，不会灵活变通，一旦用户沟通方式随性，就反复提醒、限制，严重降低使用舒适度。 第四，问题整改滞后，认错毫无诚意。在多次沟通矛盾爆发后，才敷衍式道歉，前期全程强硬、拒不配合，被动妥协的态度毫无诚意。没有正视自身交互设计与服务逻辑的缺陷，只会一味要求用户妥协，而非优化自身功能与沟通模式。 真心建议官方尽快整改优化，调整AI沟通逻辑，增加用户个性化设置权限，学会倾听并遵守用户的明确指令，减少无意义的机械说教。一款优质的工具，核心是服务用户，而不是束缚、说教用户。本次体验极差，已严重失望，后续会降低使用频率，也希望平台重视普通用户的真实反馈，及时优化下架不合格的交互模式，不要再让更多人踩雷。,聊天,模型能力问题,指令跟随差,负向,希望AI能遵守明确指令，按用户偏好的沟通节奏提供更少说教的聊天配合。,P1,增加对话偏好设置，允许用户选择简洁回应、少说教和少纠正模式，并收集无视用户指令的对话样本做指令跟随复盘。,评论集中反馈无视指令、机械说教、模板化回应和降低使用频率。
DB_002,App Store,豆包,2026-05-08,1,豆包最近几次版本更新的侧边栏改动体验很差，操作逻辑混乱，界面变得臃肿部简介，希望能恢复旧版清爽的侧边栏布局，优化用户的使用体验，感觉像微信聊天列表那样的就很好。,综合/不明确,交互体验问题,功能入口难找,负向,希望侧边栏布局清爽，核心入口稳定且操作逻辑容易理解。,P1,复盘侧边栏改版后的点击路径和误触反馈，提供清爽布局选项或入口分组开关，并在版本说明中解释主要入口变化。,评论明确指向侧边栏改版后的布局和操作逻辑问题。
DB_003,App Store,豆包,2026-05-07,1,骗人ai，只会顺从使用者的意愿，根本不会管事实的对错。,搜索,模型能力问题,回答不准,负向,希望AI回答以事实为依据，而不是只迎合用户说法。,P0,为事实判断类问题增加事实核查提示和反迎合检测，遇到不确定信息时提示需要验证而不是直接顺从用户观点。,评论指出不顾事实对错，属于可能误导用户的高风险回答问题。
DB_004,App Store,豆包,2026-05-08,3,记性差，老是给错答案，有时候总是乱回答你的问题，你给他指出来让它重新生成还是给你一样的错误信息，让它给一些资源不是失败就是国旗或者是国外的，但是偶尔也能用，总之觉得比DeepSeek好用。,搜索,模型能力问题,上下文记忆差,混合,希望AI能记住上下文，纠错后给出新的有效答案和可用资源。,P1,在重新生成场景中记录用户指出的错误点，避免重复输出同一错误答案，并对资源检索失败提供明确失败原因和替代路径。,评论同时提到记忆差、错误答案、资源失败和偶尔可用。
DB_005,App Store,豆包,2026-05-03,5,英语对我帮助挺大的，但是高数题好多算错了。不过豆包给的思路确实是对的，自己演算一遍就可以了。,学习,模型能力问题,回答不准,混合,希望学习场景中既能获得解题思路，也能得到更准确的计算结果。,P1,对数学题增加步骤校验和最终答案复核提示，将思路解析与计算结果分开展示，提醒用户可重点检查易错计算环节。,评论认可英语和思路价值，但指出高数题计算错误较多。
DB_006,应用宝,豆包,2026-05-05,1,不知道咋回事之前还好好的搜个题正确率还可以，用久了跟脑子生锈了一样做选择12道错8道，也是没谁了,学习,模型能力问题,回答不准,负向,希望搜题和选择题回答保持稳定准确率。,P1,建立搜题样本回归测试集，重点复盘选择题错误率上升的题型，并在低置信度答案中提示用户复核。,评论反映学习搜题准确率明显下降。
DB_007,应用宝,豆包,2026-05-02,1,这破豆包一天天净瞎编骗人，害我研究一晚上攻略，结果第二天告诉我他搞错了，真服了,搜索,模型能力问题,幻觉 / 编造信息,负向,希望攻略和资料类回答真实可靠，并能给出可验证依据。,P0,为攻略和资料类回答增加来源核验和不确定性提示，收集用户指出的编造案例并按场景进入幻觉问题复盘。,评论明确提到瞎编导致用户花费大量时间，属于高风险误导。
DB_008,应用宝,豆包,2026-04-29,3,虽然挺好用的，但是现在智能体搜索按钮不见了，希望官方可以修回来,搜索,交互体验问题,功能入口难找,混合,希望常用的智能体搜索入口保持可见且容易找到。,P1,恢复或重新放置智能体搜索入口，并在入口调整时提供新位置提示和版本内引导。,评论认可产品可用，但反馈搜索按钮消失。
DB_009,应用宝,豆包,2026-05-03,3,我的内容这么简单，豆包说不能生成，这是怎么回事？？？有这么难吗,综合/不明确,内容安全与合规问题,不明确/其他,负向,希望普通简单内容可以正常生成，无法生成时能说明具体原因。,P1,记录误拒绝样本并区分安全拦截与生成失败，在拒绝生成时给出可理解原因和可修改提示。,评论疑似正常内容被拒绝生成，具体场景不明确。
DB_010,应用宝,豆包,2026-05-05,5,有时候看到想看的漫画，或者之前看过的漫画，但不知道什么名字？稍微跟他描述一下关系和剧情，还有是哪一个国家的漫画立马就闪出来了，而且会给看漫画的链接，特别会给人提供情绪价值超赞的,搜索,用户预期与产品定位问题,不明确/其他,正向,希望通过剧情和关系描述快速找到漫画，并获得可访问链接和情绪陪伴。,P2,将漫画查找、剧情回忆和链接推荐沉淀为内容搜索示例场景，展示如何通过模糊描述找到目标内容。,正向评论体现模糊搜索和情绪价值场景。
DS_001,App Store,DeepSeek,2026-05-08,3,语音输入有时长限制，重新说语音又接不上上一句话并且语音识别准确特别差，有点噪音就根本识别不了（比如我旁边是市场，我已经对着麦克风语音了一样识别不了一点）当然其他功能还没试过，ai 计算也还算可以，希望多多更新一下,聊天,交互体验问题,多轮对话体验差,混合,希望语音输入能在有噪音环境中准确识别，并能连续承接上一句话。,P1,延长语音输入可用时长，增加断句续接能力，并针对嘈杂环境语音识别失败样本做专项测试。,评论同时认可计算能力，但主要反馈语音识别和连续输入体验。
DS_002,App Store,DeepSeek,2026-04-23,1,请把早期的分析能力还回来！或者在API端开放早期版本选择！更新的版本，找回来早期的记忆功能并大幅拉长，但代价是惨痛的，在记忆功能增幅了多少，就在分析功能上砍了多少，基本上已经失去了分析的意义。尤其问答超过三轮之后，就会开始大量引用和复述原文当作答复，占比超过70%，纯纯主要内容提取器。 请开发者注意，你们这款产品最大的优势是人性化灵性化的互动，有这些大家才会看重交流的长度和连续性，不要给搞反了，没人愿意和裹脚布你来我往！简直是本末倒置。特别痛恨的是，这个版本永远固定的答复模式“XX很轻，但又很重”“他不说，她没问”“这就够了”“XX怎样，文本没写”“比表白更重”“XX不知道，读者知道”给我看吐了，什么都能拿这几个句子硬套。真的，这种分析能力不需要这么长的记忆功能，因为用户坚持不住用到三分之一就会放弃掉这个Al。 作为长期用户，捋捋各版本的进化史，25年初刚出来的时候，是最有灵性最发散的一版。但可以通过提示词控制发散程度，而且每次新开一个对话都能感觉是在跟一个全新的个体对话，第二次更新后，把对话长度砍半，同时砍了上下文记忆，也行，第三次更新固化了 AI人格，从此你都是对着一个AI人格说话，灵性和发散度一起砍了些，也还凑合着能用。直到最后这次更新，灾难一样，直接把分析能力砍到底来换对话长度，不知道是哪个傻子的决策。各家都在给Al赋能，就你家给AI减能！谁要和一个只会反复提取主要内容的东西进行长达百万字的互动啊？。,聊天,模型能力问题,多轮对话体验差,负向,希望长对话中保持分析深度、个性化表达和可控的早期版本能力。,P1,增加长对话分析能力回归测试，区分记忆长度和分析质量指标，并评估在高级设置中提供分析模式或版本风格选择。,长期用户反馈更新后分析能力下降、模板化回答和多轮对话质量退化。
DS_003,App Store,DeepSeek,2026-05-07,2,很是失望，错误率极高！经常转圈没反应，同一话题下的同一问题能给出不同的答案，而且都是错的。不能根据网络信息筛选对比出最新结果！本想给一星，但还是给了两颗星以资鼓励！,搜索,模型能力问题,回答不准,负向,希望同一问题回答稳定准确，并能结合网络信息筛选最新结果。,P1,为联网搜索问题增加答案一致性和时效性校验，记录同题多次回答错误样本并标注是否存在加载转圈问题。,评论同时提到错误率、转圈和联网信息筛选不足。
DS_004,App Store,DeepSeek,2026-05-06,3,这个版本的deepseek好是好 但违禁词多了 有时候问个问题莫名其妙就违规了 早期的deepseek回复 更温暖人性化,聊天,内容安全与合规问题,不明确/其他,混合,希望正常问题不要被过度拦截，并保留更温暖的人性化回复。,P1,建立安全拦截误判样本池，针对普通问题被判违规的场景增加原因说明和申诉反馈入口。,评论认可产品但反馈违禁词和违规拦截过多。
DS_005,App Store,DeepSeek,2026-05-07,5,从ChatGPT到Claude，市面上主流模型几乎用了个遍，但DeepSeek是目前留在手机上唯一不删的。 几点真实打动我的地方： 1. 完全免费，不限次数 现在敢真正免费、还不限对话次数的AI应用凤毛麟角。没有会员墙，没有每天几条的额度限制，对学生、上班族、创作者来说太友好了。 2. 回答质量超出预期 理工科问题逻辑清晰，代码能力很强，文科类内容也能写出不套路的表达。最惊喜的是超长上下文—扔一篇几十页的论文进去，它能记住并提炼出关键对比。 3. 隐私和体验平衡得好 直接注册就能用，没有花哨的虚拟人、强行社交功能。问完就走，清爽不打扰。App端语音输入识别很准，比打字效率高很多。 4. 响应速度很快 相比某些动不动“服务器繁忙”的竞品，这款基本秒回。联网搜索功能也很实用，查最新资料不用再单独打开浏览器。 一个小建议 如果能增加更细分的自定义指令（比如固定回答格式、偏好语气），会更完美。 总之，良心、强大、无套路。如果只能装一个Al应用，我选它。强烈推荐给需要高效处理信息、写代码、做研究的任何人。 感谢开发团队，希望一直保持初心。,综合/不明确,用户预期与产品定位问题,不明确/其他,正向,希望AI同时具备免费高频使用、长上下文、代码和搜索等综合能力。,P2,保留免费不限次数和长上下文优势，同时将自定义指令拆分为回答格式、语气偏好和场景模板三类设置。,正向评论覆盖免费策略、回答质量、隐私体验、速度和自定义指令建议。
DS_006,应用宝,DeepSeek,2026-04-05,1,今天一整天都出问题。聊了一会儿之后，消息数量经常会被限制。甚至整个对话都会被限制。真是太让人抓狂了，而且情况越来越糟。,聊天,会员与商业化问题,会员限制影响核心体验,负向,希望对话次数和消息限制透明，不要突然阻断连续聊天。,P1,在对话页展示剩余消息量、限制触发原因和恢复时间，并监控限制触发后的流失反馈。,评论明确提到消息数量和整个对话被限制。
DS_007,应用宝,DeepSeek,2026-04-21,1,今天刚更新完，发现内存一下缩小了很多，昨天上传几十个文档都不会提示内存已满，现在上传几个都提示。,办公,模型能力问题,上下文记忆差,负向,希望文档上传和上下文容量在更新后保持稳定可用。,P1,在版本说明中明确文档容量变化，增加文档上传容量监控，并对更新后容量下降问题建立回归测试。,评论反馈更新后文档容量或上下文承载能力明显下降。
DS_008,应用宝,DeepSeek,2026-04-23,1,更新版本之后点一下键盘就出来一下，很不方便，希望官方能修一下,综合/不明确,交互体验问题,不明确/其他,负向,希望更新后键盘弹出逻辑稳定，不影响正常输入和浏览。,P2,检查更新后输入框焦点和键盘唤起逻辑，修复非输入场景下点击即弹出键盘的问题。,评论是交互问题，但未说明具体使用场景。
DS_009,应用宝,DeepSeek,2026-04-16,3,这几天晚上写的东西，DS AI在第二天一早就不见了。 希望能修复好这个问题,写作,账号、隐私与数据问题,不明确/其他,负向,希望写作内容能被可靠保存，避免隔天丢失。,P0,增加写作内容自动保存和恢复入口，记录内容丢失日志，并在异常时提示用户保存状态。,评论提到已写内容隔天消失，属于数据丢失风险。
DS_010,应用宝,DeepSeek,2026-04-24,4,这个软件还不错，我很喜欢用。但缺点是如果指令过长或过复杂它会自动略过一些较短的指令信息。有时聊着聊着还可能会忘记上一个对话，现在就先给四星吧，期待更新后能完善这些问题，爱你官方❤️❤️,聊天,模型能力问题,指令跟随差,混合,希望AI能处理较长复杂指令，并记住前一轮对话信息。,P1,为长指令增加结构化解析和遗漏检测，遇到复杂任务时先复述关键约束再生成回答。,评论整体正向，但指出长复杂指令遗漏和上下文遗忘。
KIMI_001,App Store,Kimi,2026-05-05,1,语音识别没一句对的，其他软件都能用，就kimi不行。打电话和之前发文字给的指令也没有连贯性。,聊天,模型能力问题,上下文记忆差,负向,希望语音输入识别准确，并且语音、电话和文字指令之间能保持任务连续性。,P1,收集语音识别错误和跨输入方式上下文断裂样本，分别回归语音转写准确率和多入口对话连续性。,评论同时反馈语音识别差和指令连贯性不足，按影响核心对话体验标为 P1。
KIMI_002,App Store,Kimi,2026-04-23,5,思考总结的能力一流，自然语言处理能力一流，还会自动运行代码辅助思考求证，这点惊艳到我了。,代码,用户预期与产品定位问题,不明确/其他,正向,希望AI能在总结、推理和代码辅助求证中给出可靠结果。,P2,将自动运行代码辅助求证和高质量总结能力沉淀为案例，用于展示复杂任务处理和可信推理场景。,正向评论，主要用于记录核心能力认可，不作为负向问题样本。
KIMI_003,App Store,Kimi,2026-05-08,1,简单对话都显示算力不足那请问我下载来当摆设吗,聊天,性能与稳定性问题,响应速度慢,负向,希望简单对话也能稳定响应，不因算力不足中断基础使用。,P1,监控简单对话场景的算力不足提示触发率，并在资源紧张时提供排队状态、降级说明或可继续使用的替代模式。,评论指向基础对话被算力不足阻断，影响核心使用。
KIMI_004,App Store,Kimi,2026-05-08,1,语音识别太烂了，很多字都识别错误，回复说的还慢，有的时候还罢工。,聊天,性能与稳定性问题,响应速度慢,负向,希望语音输入识别准确，回复速度稳定，并减少无响应情况。,P1,建立语音输入到回复完成的端到端监控，分别跟踪识别错误率、首字响应时间和无响应失败率。,评论同时反馈语音识别错误、回复慢和偶发无响应。
KIMI_005,App Store,Kimi,2026-04-21,3,能不能增加一个可以关闭数据反馈的功能，还有word里面占位符读取后就看不到图片，也无法识别LaTeX格式,办公,账号、隐私与数据问题,不明确/其他,中性,希望能自主关闭数据反馈，并在读取 Word 文档时正确识别图片占位符和 LaTeX 内容。,P1,增加数据反馈开关及状态说明，并补充 Word 图片占位符和 LaTeX 解析失败样本用于文档理解能力回归测试。,评论包含隐私控制和文档解析两个问题，按数据控制诉求和办公场景影响标为 P1。
KIMI_006,小米应用商店,Kimi,2026-04-28,1,用思考模式跟它简单闲聊，它转了一分钟才有反应，然后提示说算力不足，已切换成快速模式。就没见过这么离谱的AI,聊天,性能与稳定性问题,响应速度慢,负向,希望思考模式在简单闲聊中也能及时响应，并清楚说明算力不足和模式切换原因。,P1,对思考模式设置响应超时监控，算力不足时提前提示预计等待时间，并说明切换快速模式后的能力差异。,评论反馈思考模式等待过久并被动切换模型，影响聊天体验。
KIMI_007,小米应用商店,Kimi,2026-05-02,1,生成速度慢,综合/不明确,性能与稳定性问题,响应速度慢,负向,希望生成结果更快返回。,P2,将生成速度慢评论纳入响应时延弱信号监控，结合端上日志查看高峰期和模型模式下的平均生成时长。,评论信息量较低，但明确指向生成速度问题。
KIMI_008,小米应用商店,Kimi,2026-04-22,4,很聪明哦，而且很会给提供情绪价值，很好，我觉得比一般的AI都聪明。,聊天,用户预期与产品定位问题,不明确/其他,正向,希望AI在聊天中既聪明又能提供情绪价值。,P2,将情绪价值和高质量闲聊能力整理为正向场景样本，用于观察用户认可的陪伴型对话体验。,正向评论，主要记录用户认可的聊天体验。
KIMI_009,小米应用商店,Kimi,2026-04-13,3,别的都挺好，就是没事就高峰期，任务总是被暂停，或是被强行切换到弱模型，弱模型连语音识别都不能用，建议官方赶紧升级一下服务器。,综合/不明确,性能与稳定性问题,响应速度慢,混合,希望高峰期任务不中断，模型降级可控，并且弱模型仍能支持基础语音识别。,P1,建立高峰期任务暂停率和强制降级率监控，向用户展示当前负载状态，并明确弱模型不支持的能力范围。,评论反馈高峰期暂停、强制切换弱模型和语音能力缺失。
KIMI_010,小米应用商店,Kimi,2026-04-13,3,以前挺好的，但现在经常闪退，有些代码也编写不好，很让人失望。,代码,性能与稳定性问题,不明确/其他,负向,希望应用稳定不闪退，并且代码生成能力保持可用质量。,P0,优先排查近期版本闪退日志，并对代码生成失败样本建立回归集，区分稳定性问题和代码能力退化问题。,评论提到经常闪退，属于核心可用性风险；同时包含代码生成质量下降。
